"出願番号/登録番号/国際登録番号","商標(検索用)","称呼基準","称呼(参考情報)","区分","出願人/権利者/名義人","出願日/国際登録日(事後指定日)","登録日","ステータス","文献URL"
"登録6999703","Ｄｅｏ　Ｅａｓｙ","","デオイージー,デオ,デイイイオオ,イージー","25,35","株式会社ニトリホールディングス","2025/04/22","2025/12/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-043963/40/ja"
"登録6999704","Ａｉｒ　軽　Ｅａｓｙ","","エアーカルイージー,エアーカル,エアー,エイアイアアル,イージー","25,35","株式会社ニトリホールディングス","2025/04/22","2025/12/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-043964/40/ja"
"登録6999705","Ａｉｒ　Ｅａｓｙ","","エアーイージー,エアー,エイアイアアル,イージー","25,35","株式会社ニトリホールディングス","2025/04/22","2025/12/22","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-043965/40/ja"
"登録7015449","ＭＵＪＩ　ＥＮＥＲＧＹ","","ムジエナジー,ムジエネルギー,ムジ,エナジー,エネルギー","37,39,40,42","株式会社良品計画","2025/06/19","2026/02/12","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-068551/40/ja"
"登録7018158","ヘアスムーサー","","ヘアスムーサー,スムーサー","21","株式会社ニトリホールディングス","2025/03/06","2026/02/19","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-023563/40/ja"
"登録7021165","ブリザード","","ブリザード","24","株式会社ニトリホールディングス","2025/09/04","2026/02/27","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-101816/40/ja"
"登録7023611","キオクシア　アイーナ","","キオクシアアイーナ,キオクシア,アイーナ","41","キオクシア株式会社","2025/07/14","2026/03/06","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-079292/40/ja"
"登録7029795","","","","08,09,10,11,14,16,18,20,21,24,25,27,28,35","株式会社ニトリホールディングス","2025/07/02","2026/03/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-074669/40/ja"
"登録7029947","Ｎクール極冷","","エヌクールゴクレー,エヌクールキョクレー,エヌクール,ゴクレー,キョクレー","25,35","株式会社ニトリホールディングス","2025/08/04","2026/03/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-088777/40/ja"
"登録7029948","Ｎクールゴクレイ","","エヌクールゴクレイ,エヌクールゴクレー,エヌクール,ゴクレー","25,35","株式会社ニトリホールディングス","2025/08/04","2026/03/25","存続-登録-継続","https://www.j-platpat.inpit.go.jp/c1801/TR/JP-2025-088778/40/ja"
